Subject	stim_Pho	Home	Guanhua	Geo	Sex	Age	Num_Chinese	Num_ProfLangs	English	stim_order	ND	NW	Reps	WE	RE	SN	mEdit	k	NC	M	CC	hop1	hop2	hop3	hop4	hop5	hop6	hop7	I
21	tu2	Anhui	Yes	South	F	30	2	2	8	2	19	0	0	7.65	0.754	0.579	2.83	2.8	3	0.099	0.515	2	4	2	1	1	2	0	7
21	an3	Anhui	Yes	South	F	30	2	2	8	3	14	0	5	11.28	0.893	0.632	1.59	5.73	1	-0.079	0.52	6	8	0	0	0	0	0	0
21	kuo4	Anhui	Yes	South	F	30	2	2	8	4	16	0	0	11.94	0.821	0.562	2	4	2	0.104	0.404	6	7	2	0	0	0	0	1
21	iE1	Anhui	Yes	South	F	30	2	2	8	5	14	1	0	11.3	0.876	0.6	1.87	4.27	2	-0.175	0.413	7	6	0	0	0	0	0	1
21	uaI4	Anhui	Yes	South	F	30	2	2	8	6	5	1	3	4.32	0.776	0.556	1.6	2.33	1	-0.556	0.25	3	2	0	0	0	0	0	0
22	kuo4	Beijing/Tianjin	Yes	North	M	30	2	2	7	1	9	0	0	7.3	0.924	0.333	1.51	4.4	1	-0.055	0.796	4	5	0	0	0	0	0	0
22	an3	Beijing/Tianjin	Yes	North	M	30	2	2	7	2	13	1	1	9.48	0.822	0.733	1.93	4	1	0.087	0.386	5	8	0	0	0	0	0	0
22	uaI4	Beijing/Tianjin	Yes	North	M	30	2	2	7	3	15	1	1	12.28	0.861	0.176	1.81	4	3	-0.121	0.829	7	4	0	0	0	0	0	4
22	iE1	Beijing/Tianjin	Yes	North	M	30	2	2	7	4	11	0	0	10.5	0.848	0.273	1.65	4.83	1	-0.151	0.742	10	1	0	0	0	0	0	0
22	tu2	Beijing/Tianjin	Yes	North	M	30	2	2	7	5	10	1	3	5.64	0.976	0.214	1.82	5.09	1	0.8	0.929	3	1	6	0	0	0	0	0
22	c@N1	Beijing/Tianjin	Yes	North	M	30	2	2	7	6	21	7	0	15.9	0.915	0.75	1.69	6.55	1	0.367	0.526	6	12	3	0	0	0	0	0
23	tu2	Liaoning	Yes	North	F	23	1	1	7	1	33	2	3	19.5	0.816	0.763	2.07	7.12	2	0.478	0.59	9	19	1	0	0	0	0	4
23	an3	Liaoning	Yes	North	F	23	1	1	7	2	45	4	1	34.8	0.918	0.76	1.7	13.48	1	0.578	0.662	15	30	0	0	0	0	0	0
23	iE1	Liaoning	Yes	North	F	23	1	1	7	3	3	0	4	3	0.857	1	1	3	1	0	1	3	0	0	0	0	0	0	0
23	c@N1	Liaoning	Yes	North	F	23	1	1	7	4	8	2	1	6.64	0.665	0.545	1.86	2.89	1	0.25	0.463	4	4	0	0	0	0	0	0
23	kuo4	Liaoning	Yes	North	F	23	1	1	7	5	11	0	1	8.96	0.887	0.333	1.7	3.33	1	0.027	0.719	5	4	2	0	0	0	0	0
23	uaI4	Liaoning	Yes	North	F	23	1	1	7	6	18	0	0	14.6	0.906	0.667	1.66	6.11	1	0.357	0.503	8	10	0	0	0	0	0	0
24	kuo4	Hongkong	No	South	F	21	2	2	8	1	11	2	1	8.28	0.711	0.357	1.97	2.83	2	0.213	0.325	3	5	2	0	0	0	0	1
24	c@N1	Hongkong	No	South	F	21	2	2	8	2	16	2	2	9.26	0.513	0.05	2.65	2.12	6	0.118	0.384	2	1	4	1	1	0	0	7
24	uaI4	Hongkong	No	South	F	21	2	2	8	3	15	1	1	11.69	0.736	0.118	2.05	2.88	2	0.447	0.425	5	3	4	1	1	0	0	1
24	iE1	Hongkong	No	South	F	21	2	2	8	4	14	0	1	8.44	0.777	0.4	2.28	2.93	3	-0.308	0.338	2	6	2	0	0	0	0	4
24	tu2	Hongkong	No	South	F	21	2	2	8	5	19	1	1	11.5	0.643	0.095	1.82	5.1	2	0.527	0.662	5	6	5	0	0	0	0	3
24	an3	Hongkong	No	South	F	21	2	2	8	6	15	1	1	10.92	0.82	0.294	1.69	4.62	1	0.549	0.619	3	3	9	0	0	0	0	0
25	iE1	Shandong	Yes	North	F	20	2	2	7	1	18	0	0	10.88	0.907	0.722	2.46	3.37	2	-0.231	0.56	4	3	1	4	2	0	0	4
25	kuo4	Shandong	Yes	North	F	20	2	2	7	2	12	2	0	9.73	0.88	0.714	1.96	3.69	1	-0.195	0.338	6	4	2	0	0	0	0	0
25	an3	Shandong	Yes	North	F	20	2	2	7	3	14	0	0	7.16	0.701	0.429	2.93	2.53	2	-0.168	0.333	4	3	1	0	0	0	0	6
25	c@N1	Shandong	Yes	North	F	20	2	2	7	4	11	0	0	7.47	0.772	0.545	2.35	2.67	2	-0.321	0.247	4	4	1	0	0	0	0	2
25	tu2	Shandong	Yes	North	F	20	2	2	7	5	13	0	0	9.48	0.858	0.692	1.93	3.86	2	0.202	0.364	5	7	0	0	0	0	0	1
25	uaI4	Shandong	Yes	North	F	20	2	2	7	6	12	0	0	6.96	0.79	0.5	2.47	2.46	2	-0.327	0.218	3	3	2	1	0	0	0	3
26	c@N1	Shaanxi	Yes	North	F	19	2	2	7	1	13	0	2	5.96	0.575	0.133	2.55	1.43	6	-0.244	0.333	2	2	0	0	0	0	0	9
26	kuo4	Shaanxi	Yes	North	F	19	2	2	7	2	10	1	1	8.3	0.802	0.083	1.67	3.27	3	-0.236	0.515	5	1	0	0	0	0	0	4
26	tu2	Shaanxi	Yes	North	F	19	2	2	7	3	12	0	1	7.49	0.55	0	2.05	2.31	2	-0.189	0.244	3	4	3	0	0	0	0	2
26	an3	Shaanxi	Yes	North	F	19	2	2	7	4	14	0	0	8.14	0.63	0.143	2.58	1.73	6	-0.274	0.344	2	2	2	0	0	0	0	8
26	uaI4	Shaanxi	Yes	North	F	19	2	2	7	5	9	0	1	7.66	0.666	0	2.18	2.2	3	-0.293	0.52	5	2	0	0	0	0	0	2
26	iE1	Shaanxi	Yes	North	F	19	2	2	7	6	14	0	2	8.94	0.641	0.062	2.08	2.67	3	0.061	0.436	3	5	2	1	0	0	0	3
27	c@N1	Hunan	No	South	F	29	2	1	5	1	15	6	1	8.95	0.802	0.636	2.46	2.88	2	-0.09	0.325	4	5	2	0	0	0	0	4
27	an3	Hunan	No	South	F	29	2	1	5	2	14	5	8	10	0.852	0.778	1.87	4.67	1	0.195	0.387	6	8	0	0	0	0	0	0
27	uaI4	Hunan	No	South	F	29	2	1	5	3	22	2	1	15.57	0.892	0.76	2.34	4.35	1	0.234	0.391	6	12	4	0	0	0	0	0
27	kuo4	Hunan	No	South	F	29	2	1	5	4	23	5	0	12.88	0.895	0.75	2.56	4.67	2	-0.204	0.456	6	5	0	0	0	0	0	12
27	iE1	Hunan	No	South	F	29	2	1	5	5	26	1	1	17.61	0.862	0.75	2.33	4.89	1	0.241	0.381	8	15	3	0	0	0	0	0
27	tu2	Hunan	No	South	F	29	2	1	5	6	20	0	1	9.9	0.865	0.714	2.57	3.9	2	0.237	0.357	4	7	4	1	0	0	0	4
28	iE1	Shandong	Yes	North	M	26	1	1	7	1	11	0	0	3.66	0.68	0.182	2.76	1.33	5	-0.167	0.25	2	1	0	0	0	0	0	8
28	an3	Shandong	Yes	North	M	26	1	1	7	2	11	0	0	6.77	0.771	0.091	1.95	3	5	0.111	0.444	0	0	0	0	0	0	0	11
28	uaI4	Shandong	Yes	North	M	26	1	1	7	3	15	0	0	12.63	0.819	0.267	1.97	4.12	1	0.169	0.516	9	5	1	0	0	0	0	0
28	kuo4	Shandong	Yes	North	M	26	1	1	7	4	10	0	1	8.14	0.71	0.091	2.24	2.36	4	0.081	0.382	5	2	0	0	0	0	0	3
28	c@N1	Shandong	Yes	North	M	26	1	1	7	5	11	0	1	8.64	0.552	0	2.42	2	6	-0.367	0.367	6	0	0	0	0	0	0	5
28	tu2	Shandong	Yes	North	M	26	1	1	7	6	12	0	0	6.49	0.568	0	2.49	1.69	6	-0.268	0.231	2	0	0	0	0	0	0	10
29	iE1	Hunan	No	South	F	25	3	3	6	1	15	0	6	10.13	0.633	0	2.47	2.5	2	-0.079	0.117	4	7	2	1	0	0	0	1
29	uaI4	Hunan	No	South	F	25	3	3	6	2	6	0	3	4.65	0.664	0.333	2.14	2	2	-0.343	0.524	3	2	0	0	0	0	0	1
29	kuo4	Hunan	No	South	F	25	3	3	6	3	14	1	1	9.2	0.685	0.312	2.53	1.87	4	-0.046	0.133	3	4	3	0	0	0	0	4
29	tu2	Hunan	No	South	F	25	3	3	6	4	14	0	2	6.14	0.592	0.25	3.19	0.67	10	-0.2	0	1	1	0	0	0	0	0	12
29	an3	Hunan	No	South	F	25	3	3	6	5	13	0	1	8.46	0.713	0.429	2.2	2.57	2	0.097	0.236	3	4	4	1	0	0	0	1
29	c@N1	Hunan	No	South	F	25	3	3	6	6	11	0	4	7.63	0.753	0.467	2.12	2.67	2	-0.429	0.356	4	3	3	0	0	0	0	1
30	uaI4	Heilongjiang/Guangdong	Other	Other	F	24	2	2	7	1	17	0	2	11.61	0.842	0.368	2.12	3.56	1	0.078	0.426	6	6	3	2	0	0	0	0
30	tu2	Heilongjiang/Guangdong	Other	Other	F	24	2	2	7	2	13	0	4	5.99	0.745	0.412	2.21	2.57	2	-0.098	0.217	2	4	3	1	0	0	0	3
30	an3	Heilongjiang/Guangdong	Other	Other	F	24	2	2	7	3	16	1	0	7.95	0.782	0.529	2.64	1.88	3	-0.444	0.235	3	2	1	2	1	2	0	5
30	kuo4	Heilongjiang/Guangdong	Other	Other	F	24	2	2	7	4	9	1	0	7.64	0.798	0.5	1.64	3.2	1	0	0.44	5	3	1	0	0	0	0	0
30	iE1	Heilongjiang/Guangdong	Other	Other	F	24	2	2	7	5	21	0	0	5.81	0.65	0.238	2.58	2.45	4	-0.05	0.379	1	3	1	1	0	0	0	15
30	c@N1	Heilongjiang/Guangdong	Other	Other	F	24	2	2	7	6	21	1	0	15.58	0.861	0.5	1.84	5.73	2	0.468	0.493	7	12	0	0	0	0	0	2
31	an3	Hubei	Yes	South	F	26	1	1	6	1	14	0	0	9.28	0.713	0	2.13	2.4	4	0.099	0.462	2	1	4	0	0	0	0	7
